TransactionID,Date,CustomerID,Product,Quantity,Price,TotalAmount,Month,RevenueCategory,ProductCategory
TID0002,2023-12-15,UNKNOWN,Product A,8,32.88,263.04,12,High,Category 1
TID0003,2023-09-28,CUST0001,Product D,10,32.88,328.8,9,High,Category 2
TID0004,2023-04-17,CUST0006,Product  B,9,32.88,295.92,4,High,Category 1
TID0005,2023-03-13,UNKNOWN,Product D,2,32.88,65.76,3,Medium,Category 2
TID0006,2023-07-08,UNKNOWN,Product D,8,32.88,263.04,7,High,Category 2
TID0007,2023-01-21,CUST0010,Product B,2,32.88,65.76,1,Medium,Category 1
TID0008,2023-09-13,UNKNOWN,Product B,10,32.88,328.8,9,High,Category 1
TID0009,2023-05-02,CUST0003,Product B,7,32.88,230.16000000000003,5,High,Category 1
TID0010,2023-08-03,CUST0004,Product B,12,32.88,394.56000000000006,8,High,Category 1
TID0012,2023-03-29,CUST0007,Product D,7,32.88,230.16000000000003,3,High,Category 2
TID0013,2023-04-10,CUST0007,Product B,3,32.88,98.64000000000001,4,Medium,Category 1
TID0014,2023-12-26,UNKNOWN,Product A,9,32.88,295.92,12,High,Category 1
TID0015,2023-06-01,CUST0002,Product C,7,32.88,230.16000000000003,6,High,Category 2
TID0018,2023-11-05,CUST0007,Product D,3,32.88,98.64000000000001,11,Medium,Category 2
TID0020,2023-12-10,CUST0011,Product B,6,32.88,197.28000000000003,12,Medium,Category 1
